Catalog_Number|Album_Detail_ID|Album_Format_ID|Label_Name|Album_Name|Artist_Name|Sell_Price|Buy_Price|In_Stock_Num|Style_ID|Date_Updated|Album_Status_ID|Company_ID|Release_Date|Notch_Column
69598|0|55|550 Music|100% Ginuwine (2 LP's)|GINUWINE|10.40|8.00|0|0||24|6978||
5030|0|55|75 Ark|Unleashed B-Boy Mayhem In A Universe Gone Mad (2 LP's)|UNSUNG HEROES|9.75|7.50|0|0||24|6978||
77507|0|55|880 Records|Wake Up Shoe Freestyles Volume 7 (2 LP's)|SWAY & KING TECH|11.70|9.00|0|0||24|6978||
396002|0|55|A&M|Mad Dogs & Englishmen (2 LP's)|JOE COCKER|28.60|22.00|0|0||24|6978||
30033|0|55|Adeline|American Idiot (2 LP's)|GREEN DAY|31.20|24.00|0|0||24|6978||
156|0|55|Afterhours|Ralphi Rosario / Spero / Matt Warren / Pound Boys (2 LP's)|SESSIONS VOL. 3 |10.40|8.00|0|0||24|6978||
63336|0|55|American|American IV: The Man Comes Around (2 LP's)|JOHNNY CASH  |15.60|12.00|0|0||24|6978||
86741|0|55|Anti|From A Basement On The Hill (2 LP's)|ELLIOTT SMITH|16.90|13.00|0|0||24|6978||
86943|0|55|Anti|Dig, Lazarus, Dig !!! (2 LP's / 7")|NICK CAVE & THE BAD SEEDS|26.00|20.00|0|0||24|6978||
2001|0|55|Antra|Tha Streetz Iz A Mutha (2 LP's)|KURUPT|6.50|5.00|0|0||24|6978||
4370|0|55|Arista|It's Your World (2 LP's)|GIL SCOTT-HERON|15.60|12.00|0|0||24|6978||
14643|0|55|Arista|Welcome II Nextasy (2 LP's)|NEXT|9.10|7.00|0|0||24|6978||
14667|0|55|Arista|Face2face (2 LP's)|BABYFACE|10.40|8.00|0|0||24|6978||
50133|0|55|Arista|Speakerboxxx / The Love Below|OUTKAST (2 LP's)|34.13|26.25|0|0||24|6978||
994|0|55|Asphodel|Square Root Of Negataive One|WE|10.40|8.00|0|0||24|6978||
83808|0|55|Asylum|The Peoples Champ (2 LP's)|PAUL WALL|7.80|6.00|0|0||24|6978||N
3001|0|55|Atlantic|Mingus At Antibes (2 LP's)|CHARLES MINGUS|15.60|12.00|0|0||24|6978||
74824|0|55|Atlantic|Shine On (2 LP's)|JET|9.75|7.50|0|0||24|6978||N
83031|0|55|Atlantic|The Wait Is Over (Woof Woof)|69 BOYZ|5.20|4.00|0|0||24|6978||
92783|0|55|Atlantic|The World Of Cease A Leo (2 LP's)|LIL' CEASE (Lil' Kim / Redman)|7.15|5.50|0|0||24|6978||
92840|0|55|Atlantic|Notorious Kim (2 LP's)|LIL' KIM|11.70|9.00|0|0||24|6978||
201468|0|55|Atlantic|VS T.I.P. (Nelly / Wyclef)|T.I. (Busta Rhymes / Eminem / Jay-Z)|7.80|6.00|0|0||24|6978||N
300143|0|55|Atlantic|Dance With Me (6 Mixes on 2 Records - Promo)|DEBELAH MORGAN|5.20|4.00|0|0||24|6978||
2-907|0|55|Atlantic|Bright Moments (2 LP's)|ROLAND KIRK|15.60|12.00|0|0||24|6978||
54|0|55|ATO|How We Operate (2 LP's)|GOMEZ|27.30|21.00|0|0||24|6978||
9|0|55|Babygrande|Mic Club (2 LP's)|CANIBUS|13.00|10.00|0|0||24|6978||
82411|0|55|Back Porch|Real Animal (2 LP's - Bonus Tracks)|ALEJANDRO ESCOVEDO|19.83|15.25|0|0||24|6978||
9991|0|55|Bad Boy|Greatest Hits (2 LP's)|NOTORIOUS B.I.G.|14.95|11.50|0|0||24|6978||
73012|0|55|Bad Boy|No Way Out (2 LP's)|PUFF DADDY|11.70|9.00|0|0||24|6978||
83885|0|55|Bad Boy|Duets: The Final Chapter (2 LP's)|NOTORIOUS B.I.G.|11.05|8.50|0|0||24|6978||N
801901|0|55|Beggars Banquet|Fab Four Suture (2 - 10" Records)|STEREOLAB|20.80|16.00|0|0||24|6978||
1|0|55|BMG|Mad Scientist / Stickmen / JFK Project (2 LP's)|LEAF / : ACID|5.20|4.00|0|0||24|6978||
73117|0|55|BMG|First Impressions Of Earth (2 LP's)|STROKES|17.23|13.25|0|0||24|6978||
105800|0|55|Brushfire|Sleep Through The Static (2 LP's)|JACK JOHNSON|13.65|10.50|0|0||24|6978||
1240|0|55|Calla|The Birth Of A Legend (2 LP's)|BOB MARLEY & THE WAILERS|13.00|10.00|0|0||24|6978||
181|0|55|Candlelight|Hellfire (2 LP's) Ltd Edition|1349|16.58|12.75|0|0||24|6978||
8098|0|55|Capitol|From Itlay With Love (2 LP's)|FROM ITALY WITH LOVE|2.60|2.00|0|0||24|6978||
11025|0|55|Capitol|Soul Zodiac (2 LP's)|CANNONBALL ADDERLEY|18.20|14.00|0|0||24|6978||
11120|0|55|Capitol|Soul Of The Bible (2 LP's)|CANNONBALL ADDERLEY|15.60|12.00|0|0||24|6978||
12156|0|55|Capitol|Live In New Orleans (2 LP's)|MAZE Featuring Frankie Beverly|7.80|6.00|0|0||24|6978||
44667|0|55|Capitol|Solid Gold Hits (2 LP's)|BEASTIE BOYS|28.28|21.75|0|0||24|6978||
81827|0|55|Capitol|Jackpot (2 LP's)|CHINGY|7.80|6.00|0|0||24|6978||
125528|0|55|Chocodog|Chocolate And Cheese (2 LP's)|WEEN|41.60|32.00|0|0||24|6978||
99970|0|55|CNR|Decade (2 LP's)|STICKY FINGAZ (Onyx)|5.20|4.00|0|0||24|6978||
30450|0|55|Columbia|Empty Bed Blues (2 LP's)|BESSIE SMITH|11.70|9.00|0|0||24|6978||
30619|0|55|Columbia|The Real Thing (2 LP's)|TAJ MAHAL|11.70|9.00|0|0||24|6978||
34976|0|55|Columbia|V.S.O.P.-The Quintet (2 LP's)|HERBIE HANCOCK|7.80|6.00|0|0||24|6978||
40407|0|55|Columbia|Bitches Brew (2 LP's)|MILES DAVIS |29.25|22.50|0|0||24|6978||
54743|0|55|Columbia|The Streetsweeper Vol. 1 (2 Records)|DJ KAYSLAY|10.40|8.00|0|0||24|6978||
63731|0|55|Columbia|Hustlin' Pays|MR NITRO|7.80|6.00|0|0||24|6978||
68296|0|55|Columbia|For All Seasons|NATURE|6.50|5.00|0|0||24|6978||
69726|0|55|Columbia|Marc Anthony ( I Need To Know) 2 Records|MARC ANTHONY|5.85|4.50|0|0||24|6978||
69934|0|55|Columbia|Method Man & Redman / 50 Cent (2 LP's)|IN TOO DEEP - Soundtrack|9.10|7.00|0|0||24|6978||
69985|0|55|Columbia|Willennium (2 Records)|WILL SMITH|5.85|4.50|0|0||24|6978||
86189|0|55|Columbia|Born To Reign (2 LP's)|WILL SMITH|10.40|8.00|0|0||24|6978||
87606|0|55|Columbia|Modern Times (2 LP's)|BOB DYLAN|18.85|14.50|0|0||24|6978||
494939|0|55|Columbia|Willennium|WILL SMITH|7.80|6.00|0|0||24|6978||
23105|0|55|Creed|5th National Convention Of Gospel Evangelists (2 LP"s)|REV. JOSEPH D. LINTON Presents|1.30|1.00|0|0||24|6978||
8008|0|55|Curtom|Live (2 LP's)|CURTIS MAYFIELD|15.60|12.00|0|0||24|6978||
6003|0|55|Decca|Greatest Hits (2 LP's)|MORRISSEY|16.90|13.00|0|0||24|6978||
37973|0|55|Def Jam|Foxy Brown / Dru Hill / DMX / Redman / 2Pac / Master P (2 LP's)|HOW TO BE A PLAYER - Soundtrack|5.20|4.00|0|0||24|6978||
111380|0|55|Def Jam|Rising Down (2 LP's)|ROOTS|14.30|11.00|0|0||24|6978||
536281|0|55|Def Jam|Ghetto Cyrano|CHRISTION|3.90|3.00|0|0||24|6978||
542259|0|55|Def Jam|Irv Gotti Presents (2 LP"s)|MURDERERS (Ja Rule)|7.80|6.00|0|0||24|6978||
586437|0|55|Def Jam|Pain Is Love (2 LP's)|JA RULE|10.40|8.00|0|0||24|6978||
548836|0|55|Def Soul|Return Of The Dragon (2 LP's)|SISQO|7.80|6.00|0|0||24|6978||
25156|0|55|DGC|Freak-On-Ica (Psycho-Future) Blue Vinyl|GIRLS AGAINST BOYS (Park Avenue)|5.20|4.00|0|0||24|6978||
61951|0|55|Eastwest|Brandy / Tamia / Bone Thugs (2 LP's)|SET IT OFF - Soundtrack|9.10|7.00|0|0||24|6978||
62150|0|55|Eastwest|Featuring Swing My Way by K.P. And Envyi|RHYTHM & QUAD 166|2.60|2.00|0|0||24|6978||
60823|0|55|Elektra|Beast From The East (2 LP'S) |DOKKEN|1.30|1.00|0|0||24|6978||
61313|0|55|Elektra|Infinity Within|DEEE-LITE|5.20|4.00|0|0||24|6978||
67559|0|55|EMI|Adore (2 LP's)|SMASHING PUMPKINS|16.90|13.00|0|0||24|6978||
77716|0|55|EMI|Best Of: The Strenghth Of Street Knowledge|N.W.A. (2 LP's)|26.00|20.00|0|0||24|6978||
80941|0|55|EMI|Heart (2 - 10"s)|SLEEPY JACKSON|5.20|4.00|0|0||24|6978||
5231301|0|55|EMI|Eternal (2 Records)|ETERNAL|7.80|6.00|0|0||24|6978||
73337|0|55|Enigma|Chance Encounters In The Garden Of Lights (2 LP's)|BILL NELSON (Be Bop Deluxe)|5.20|4.00|0|0||24|6978||
7507|0|55|Enterprise|Truck Turner (2 LP's)|ISAAC HAYES|13.00|10.00|0|0||24|6978||
15048|0|55|Epic|Love Crimes (2 LP's)|RUFF ENDZ|10.40|8.00|0|0||24|6978||
23344|0|55|Epic|Thriller - 25th Anniversary (2 LP's)|MICHAEL JACKSON|28.60|22.00|0|0||24|6978||
31457|0|55|Epic|Spirit / Clear (2 LP's)|SPIRIT|11.70|9.00|0|0||24|6978||
35069|0|55|Epic|Double Live Gonzo (2 LP's)|TED NUGENT|9.75|7.50|0|0||24|6978||
66192|0|55|Epic|Original Soundtrack|BRAZEN (Limited Edition Double Vinyl)|0.65|0.50|0|0||24|6978||
66661|0|55|Epic|Gloria Estefan/David Morales/Miami Sound Machine/Johnny Vicious|SPECIALIST-THE REMIXES (2 LP's)|0.65|0.50|0|0||24|6978||
68976|0|55|Epic|Confessions Of Fire (2 LP's)|CAM'RON|9.10|7.00|0|0||24|6978||
69622|0|55|Epic|Life|GINUWINE|5.85|4.50|0|0||24|6978||
69694|0|55|Epic|Dear Diary |CHA CHA|6.50|5.00|0|0||24|6978||
69821|0|55|Epic|The Yin And The Yang (2 LP's)|CAPPADONNA (Ghostface Killah/Jermaine Dupri)|6.50|5.00|0|0||24|6978||
69859|0|55|Epic|Crow's Nest (Bandits)|JIM CROW|5.20|4.00|0|0||24|6978||
69904|0|55|Epic|Korn/Limp Bizkit/Orgy/Rammstein|FAMILY VALUES TOUR|5.20|4.00|0|0||24|6978||
86474|0|55|Epitaph|Napalm Death / Wayne Kramer / NOFX / Snuff|BETTER READ THAN DEAD (2 LP's)|6.50|5.00|0|0||24|6978||
20|0|55|F Beat|Boat|BLAB HAPPY (1 LP 1 12" And Poster)|3.90|3.00|0|0||24|6978||
CCR2|0|55|Fantasy|Chronicle  - 20 Greatest Hits (2 LP's)|CREEDENCE CLEARWATER REVIVAL|13.00|10.00|0|0||24|6978||
46190|0|55|FFFR|Work 1989 - 2002 (2 LP's)|ORBITAL|10.40|8.00|0|0||24|6978||N
852088|0|55|Geffen|Loose (2 LP's)|NELLY FURTADO|13.65|10.50|0|0||24|6978||
5018|0|55|Get Hip|The Soulville Jaywalking Story (2 LP's)|SOULFUL SOUNDS FROM SOULVILLE|13.00|10.00|0|0||24|6978||
40721|0|55|Global Pacific|Steve Kindler / Paul Greaver / Penny Little|FRUITS OF OUR LABOR (2 LP's)|0.65|0.50|0|0||24|6978||N
